[15Jul2025 00:01:38.289] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: agustinnfes2 was slain by Zombie
[15Jul2025 00:04:00.717] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: [Not Secure] <Riuksaky> como me puedo poner la mochila
[15Jul2025 00:04:07.721] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: [Not Secure] <Riuksaky> chale
[15Jul2025 00:08:10.891] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: BozzNofps has made the advancement [The Bender of the 15th Century]
[15Jul2025 00:08:56.992] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: agustinnfes2 was slain by Zombie
[15Jul2025 00:09:54.718] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: [Not Secure] <Riuksaky> day
[15Jul2025 00:10:02.805] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: [BozzNofps: Set the time to 1000]
[15Jul2025 00:12:07.668] [Worker-Main-79/ERROR] [net.minecraft.world.entity.decoration.HangingEntity/]: Hanging entity at invalid position: BlockPos{x=-414, y=-52, z=-427}
[15Jul2025 00:12:14.417] [Server thread/WARN] [net.minecraft.server.MinecraftServer/]: Can't keep up! Is the server overloaded? Running 2004ms or 40 ticks behind
[15Jul2025 00:12:28.391] [Worker-Main-81/ERROR] [net.minecraft.world.entity.decoration.HangingEntity/]: Hanging entity at invalid position: BlockPos{x=-183, y=-57, z=-201}
[15Jul2025 00:12:28.391] [Worker-Main-81/ERROR] [net.minecraft.world.entity.decoration.HangingEntity/]: Hanging entity at invalid position: BlockPos{x=-183, y=-58, z=-205}
[15Jul2025 00:12:28.513] [Worker-Main-57/ERROR] [net.minecraft.world.entity.decoration.HangingEntity/]: Hanging entity at invalid position: BlockPos{x=-193, y=-45, z=-211}
[15Jul2025 00:12:28.514] [Worker-Main-57/ERROR] [net.minecraft.world.entity.decoration.HangingEntity/]: Hanging entity at invalid position: BlockPos{x=-183, y=-57, z=-210}
[15Jul2025 00:12:28.514] [Worker-Main-57/ERROR] [net.minecraft.world.entity.decoration.HangingEntity/]: Hanging entity at invalid position: BlockPos{x=-187, y=-49, z=-219}
[15Jul2025 00:12:28.515] [Worker-Main-57/ERROR] [net.minecraft.world.entity.decoration.HangingEntity/]: Hanging entity at invalid position: BlockPos{x=-189, y=-45, z=-211}
[15Jul2025 00:12:28.515] [Worker-Main-57/ERROR] [net.minecraft.world.entity.decoration.HangingEntity/]: Hanging entity at invalid position: BlockPos{x=-191, y=-45, z=-211}
[15Jul2025 00:12:58.196] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: [Not Secure] <Riuksaky> xraid
[15Jul2025 00:17:15.463] [Server thread/WARN] [net.minecraft.server.MinecraftServer/]: Can't keep up! Is the server overloaded? Running 2050ms or 41 ticks behind
[15Jul2025 00:17:32.942] [Server thread/WARN] [net.minecraft.server.MinecraftServer/]: Can't keep up! Is the server overloaded? Running 2478ms or 49 ticks behind
[15Jul2025 00:19:40.123] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: [Not Secure] <Riuksaky> day
[15Jul2025 00:19:44.026] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: [BozzNofps: Set the time to 1000]
[15Jul2025 00:24:08.501] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: agustinnfes2 was shot by Skeleton
[15Jul2025 00:24:20.572] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: [Not Secure] <xXCaptainJhonaXx> xd
[15Jul2025 00:25:39.108] [Server thread/WARN] [net.minecraft.server.network.ServerGamePacketListenerImpl/]: Boat (vehicle of xXCaptainJhonaXx) moved wrongly! 0.7702221884651338
[15Jul2025 00:25:39.111] [Server thread/WARN] [net.minecraft.server.network.ServerGamePacketListenerImpl/]: Boat (vehicle of xXCaptainJhonaXx) moved wrongly! 0.8110375035679469
[15Jul2025 00:25:39.194] [Server thread/WARN] [net.minecraft.server.network.ServerGamePacketListenerImpl/]: Boat (vehicle of xXCaptainJhonaXx) moved wrongly! 0.8527401259552149
[15Jul2025 00:25:39.195] [Server thread/WARN] [net.minecraft.server.network.ServerGamePacketListenerImpl/]: Boat (vehicle of xXCaptainJhonaXx) moved wrongly! 0.89520835084808
[15Jul2025 00:25:39.281] [Server thread/WARN] [net.minecraft.server.network.ServerGamePacketListenerImpl/]: Boat (vehicle of xXCaptainJhonaXx) moved wrongly! 0.9383113335106681
[15Jul2025 00:25:39.320] [Server thread/WARN] [net.minecraft.server.network.ServerGamePacketListenerImpl/]: Boat (vehicle of xXCaptainJhonaXx) moved wrongly! 0.9819027778311684
[15Jul2025 00:25:53.780] [Server thread/WARN] [net.minecraft.server.network.ServerGamePacketListenerImpl/]: Boat (vehicle of Riuksaky) moved too quickly! 8.102642689040977,0.0,6.385328312889783
[15Jul2025 00:25:53.782] [Server thread/WARN] [net.minecraft.server.network.ServerGamePacketListenerImpl/]: Boat (vehicle of Riuksaky) moved too quickly! 8.3812670230825,0.0,6.670092364189259
[15Jul2025 00:25:53.784] [Server thread/WARN] [net.minecraft.server.network.ServerGamePacketListenerImpl/]: Boat (vehicle of Riuksaky) moved too quickly! 8.658216757926084,0.0,6.9566131818572785
[15Jul2025 00:25:53.785] [Server thread/WARN] [net.minecraft.server.network.ServerGamePacketListenerImpl/]: Boat (vehicle of Riuksaky) moved too quickly! 8.93359552254492,0.0,7.2447702626269574
[15Jul2025 00:25:53.786] [Server thread/WARN] [net.minecraft.server.network.ServerGamePacketListenerImpl/]: Boat (vehicle of Riuksaky) moved too quickly! 9.2075022827064,0.0,7.534450025699016
[15Jul2025 00:25:53.788] [Server thread/WARN] [net.minecraft.server.network.ServerGamePacketListenerImpl/]: Boat (vehicle of Riuksaky) moved too quickly! 9.48003184082063,0.0,7.825545144709167
[15Jul2025 00:25:53.788] [Server thread/WARN] [net.minecraft.server.MinecraftServer/]: Can't keep up! Is the server overloaded? Running 3775ms or 75 ticks behind
[15Jul2025 00:25:53.874] [Server thread/WARN] [net.minecraft.server.network.ServerGamePacketListenerImpl/]: Boat (vehicle of Riuksaky) moved too quickly! 6.928591061674524,0.0,7.72440131012479
[15Jul2025 00:25:53.875] [Server thread/WARN] [net.minecraft.server.network.ServerGamePacketListenerImpl/]: Boat (vehicle of Riuksaky) moved too quickly! 7.186977469135854,0.0,8.029466616690456
[15Jul2025 00:25:53.875] [Server thread/WARN] [net.minecraft.server.network.ServerGamePacketListenerImpl/]: Boat (vehicle of Riuksaky) moved too quickly! 7.445113796127998,0.0,8.334767447581953
[15Jul2025 00:25:53.876] [Server thread/WARN] [net.minecraft.server.network.ServerGamePacketListenerImpl/]: Boat (vehicle of Riuksaky) moved too quickly! 7.703022102136629,0.0,8.640282703464777
[15Jul2025 00:25:53.880] [Server thread/WARN] [net.minecraft.server.network.ServerGamePacketListenerImpl/]: Boat (vehicle of Riuksaky) moved too quickly! 7.960719292130989,0.0,8.945995849904648
[15Jul2025 00:25:53.881] [Server thread/WARN] [net.minecraft.server.network.ServerGamePacketListenerImpl/]: Boat (vehicle of Riuksaky) moved too quickly! 8.218223529150237,0.0,9.25188954908208
[15Jul2025 00:25:53.883] [Server thread/WARN] [net.minecraft.server.network.ServerGamePacketListenerImpl/]: Boat (vehicle of Riuksaky) moved too quickly! 8.475551161791827,0.0,9.557948198822714
[15Jul2025 00:25:53.884] [Server thread/WARN] [net.minecraft.server.network.ServerGamePacketListenerImpl/]: Boat (vehicle of Riuksaky) moved too quickly! 8.732716901930416,0.0,9.864157753444715
[15Jul2025 00:25:53.885] [Server thread/WARN] [net.minecraft.server.network.ServerGamePacketListenerImpl/]: Boat (vehicle of Riuksaky) moved too quickly! 8.989733988390299,0.0,10.17050557742266
[15Jul2025 00:25:53.886] [Server thread/WARN] [net.minecraft.server.network.ServerGamePacketListenerImpl/]: Boat (vehicle of Riuksaky) moved too quickly! 9.246614337975643,0.0,10.476980293195993
[15Jul2025 00:25:53.887] [Server thread/WARN] [net.minecraft.server.network.ServerGamePacketListenerImpl/]: Boat (vehicle of Riuksaky) moved too quickly! 9.503368673947307,0.0,10.783571662823192
[15Jul2025 00:25:53.888] [Server thread/WARN] [net.minecraft.server.network.ServerGamePacketListenerImpl/]: Boat (vehicle of Riuksaky) moved too quickly! 9.760009597669523,0.0,11.090268020916028
[15Jul2025 00:25:53.889] [Server thread/WARN] [net.minecraft.server.network.ServerGamePacketListenerImpl/]: Boat (vehicle of Riuksaky) moved too quickly! 10.016545499940094,0.0,11.397061319866566
[15Jul2025 00:25:53.891] [Server thread/WARN] [net.minecraft.server.network.ServerGamePacketListenerImpl/]: Boat (vehicle of Riuksaky) moved too quickly! 10.27298393247679,0.0,11.703944316827688
[15Jul2025 00:25:53.892] [Server thread/WARN] [net.minecraft.server.network.ServerGamePacketListenerImpl/]: Boat (vehicle of Riuksaky) moved too quickly! 10.529334642255208,0.0,12.010908041996117
[15Jul2025 00:25:53.893] [Server thread/WARN] [net.minecraft.server.network.ServerGamePacketListenerImpl/]: Boat (vehicle of Riuksaky) moved too quickly! 10.785603452986152,0.0,12.317946871927688
[15Jul2025 00:25:53.954] [Server thread/WARN] [net.minecraft.server.network.ServerGamePacketListenerImpl/]: Boat (vehicle of Riuksaky) moved too quickly! 6.6751965095165815,0.0,7.971632614923578
[15Jul2025 00:25:53.955] [Server thread/WARN] [net.minecraft.server.network.ServerGamePacketListenerImpl/]: Boat (vehicle of Riuksaky) moved too quickly! 6.93092936854373,0.0,8.279160304465222
[15Jul2025 00:25:53.957] [Server thread/WARN] [net.minecraft.server.network.ServerGamePacketListenerImpl/]: Boat (vehicle of Riuksaky) moved too quickly! 7.186636210890811,0.0,8.586711601075876
[15Jul2025 00:25:53.959] [Server thread/WARN] [net.minecraft.server.network.ServerGamePacketListenerImpl/]: Boat (vehicle of Riuksaky) moved too quickly! 7.442316687796392,0.0,8.894286595289145
[15Jul2025 00:25:53.961] [Server thread/WARN] [net.minecraft.server.network.ServerGamePacketListenerImpl/]: Boat (vehicle of Riuksaky) moved too quickly! 7.697973435805352,0.0,9.201882917344278
[15Jul2025 00:25:53.963] [Server thread/WARN] [net.minecraft.server.network.ServerGamePacketListenerImpl/]: Boat (vehicle of Riuksaky) moved too quickly! 7.953608827807784,0.0,9.509498434456418
[15Jul2025 00:25:53.983] [Server thread/WARN] [net.minecraft.server.network.ServerGamePacketListenerImpl/]: Boat (vehicle of Riuksaky) moved too quickly! 8.209224999405023,0.0,9.81713122711949
[15Jul2025 00:25:54.097] [Server thread/WARN] [net.minecraft.server.network.ServerGamePacketListenerImpl/]: Boat (vehicle of Riuksaky) moved too quickly! -15.13475720788847,0.0,-17.544371811628366
[15Jul2025 00:25:54.098] [Server thread/WARN] [net.minecraft.server.network.ServerGamePacketListenerImpl/]: Boat (vehicle of Riuksaky) moved too quickly! -15.13475720788847,0.0,-17.544371811628366
[15Jul2025 00:25:54.098] [Server thread/WARN] [net.minecraft.server.network.ServerGamePacketListenerImpl/]: Boat (vehicle of Riuksaky) moved too quickly! -15.13475720788847,0.0,-17.544371811628366
[15Jul2025 00:25:54.098] [Server thread/WARN] [net.minecraft.server.network.ServerGamePacketListenerImpl/]: Boat (vehicle of Riuksaky) moved too quickly! -15.13475720788847,0.0,-17.544371811628366
[15Jul2025 00:25:54.098] [Server thread/WARN] [net.minecraft.server.network.ServerGamePacketListenerImpl/]: Boat (vehicle of Riuksaky) moved too quickly! -15.13475720788847,0.0,-17.544371811628366
[15Jul2025 00:25:54.099] [Server thread/WARN] [net.minecraft.server.network.ServerGamePacketListenerImpl/]: Boat (vehicle of Riuksaky) moved too quickly! -15.13475720788847,0.0,-17.544371811628366
[15Jul2025 00:25:54.099] [Server thread/WARN] [net.minecraft.server.network.ServerGamePacketListenerImpl/]: Boat (vehicle of Riuksaky) moved too quickly! -14.878293496013612,0.0,-17.237461967788136
[15Jul2025 00:25:54.133] [Server thread/WARN] [net.minecraft.server.network.ServerGamePacketListenerImpl/]: Boat (vehicle of Riuksaky) moved too quickly! -14.621051429381623,0.0,-16.93121677106683
[15Jul2025 00:25:54.170] [Server thread/WARN] [net.minecraft.server.network.ServerGamePacketListenerImpl/]: Boat (vehicle of Riuksaky) moved too quickly! -14.36310884348677,0.0,-16.625569756736695
[15Jul2025 00:25:54.214] [Server thread/WARN] [net.minecraft.server.network.ServerGamePacketListenerImpl/]: Boat (vehicle of Riuksaky) moved too quickly! -14.104535790271939,0.0,-16.320461106544258
[15Jul2025 00:25:54.283] [Server thread/WARN] [net.minecraft.server.network.ServerGamePacketListenerImpl/]: Boat (vehicle of Riuksaky) moved too quickly! -13.8453953164842,0.0,-16.015836984062958
[15Jul2025 00:25:54.360] [Server thread/WARN] [net.minecraft.server.network.ServerGamePacketListenerImpl/]: Boat (vehicle of Riuksaky) moved too quickly! -13.585744164194466,0.0,-15.711648936510187
[15Jul2025 00:25:54.361] [Server thread/WARN] [net.minecraft.server.network.ServerGamePacketListenerImpl/]: Boat (vehicle of Riuksaky) moved too quickly! -13.325633401264895,0.0,-15.407853356382702
[15Jul2025 00:25:54.443] [Server thread/WARN] [net.minecraft.server.network.ServerGamePacketListenerImpl/]: Boat (vehicle of Riuksaky) moved too quickly! -8.464823872637908,0.0,-10.124779567778091
[15Jul2025 00:25:54.444] [Server thread/WARN] [net.minecraft.server.network.ServerGamePacketListenerImpl/]: Boat (vehicle of Riuksaky) moved too quickly! -8.464823872637908,0.0,-10.124779567778091
[15Jul2025 00:25:54.444] [Server thread/WARN] [net.minecraft.server.network.ServerGamePacketListenerImpl/]: Boat (vehicle of Riuksaky) moved too quickly! -8.464823872637908,0.0,-10.124779567778091
[15Jul2025 00:25:54.444] [Server thread/WARN] [net.minecraft.server.network.ServerGamePacketListenerImpl/]: Boat (vehicle of Riuksaky) moved too quickly! -8.464823872637908,0.0,-10.124779567778091
[15Jul2025 00:25:54.444] [Server thread/WARN] [net.minecraft.server.network.ServerGamePacketListenerImpl/]: Boat (vehicle of Riuksaky) moved too quickly! -8.464823872637908,0.0,-10.124779567778091
[15Jul2025 00:25:54.444] [Server thread/WARN] [net.minecraft.server.network.ServerGamePacketListenerImpl/]: Boat (vehicle of Riuksaky) moved too quickly! -8.464823872637908,0.0,-10.124779567778091
[15Jul2025 00:25:54.444] [Server thread/WARN] [net.minecraft.server.network.ServerGamePacketListenerImpl/]: Boat (vehicle of Riuksaky) moved too quickly! -8.464823872637908,0.0,-10.124779567778091
[15Jul2025 00:25:54.444] [Server thread/WARN] [net.minecraft.server.network.ServerGamePacketListenerImpl/]: Boat (vehicle of Riuksaky) moved too quickly! -8.464823872637908,0.0,-10.124779567778091
[15Jul2025 00:25:54.444] [Server thread/WARN] [net.minecraft.server.network.ServerGamePacketListenerImpl/]: Boat (vehicle of Riuksaky) moved too quickly! -8.464823872637908,0.0,-10.124779567778091
[15Jul2025 00:25:54.445] [Server thread/WARN] [net.minecraft.server.network.ServerGamePacketListenerImpl/]: Boat (vehicle of Riuksaky) moved too quickly! -8.464823872637908,0.0,-10.124779567778091
[15Jul2025 00:25:54.445] [Server thread/WARN] [net.minecraft.server.network.ServerGamePacketListenerImpl/]: Boat (vehicle of Riuksaky) moved too quickly! -8.464823872637908,0.0,-10.124779567778091
[15Jul2025 00:25:54.445] [Server thread/WARN] [net.minecraft.server.network.ServerGamePacketListenerImpl/]: Boat (vehicle of Riuksaky) moved too quickly! -8.464823872637908,0.0,-10.124779567778091
[15Jul2025 00:25:54.445] [Server thread/WARN] [net.minecraft.server.network.ServerGamePacketListenerImpl/]: Boat (vehicle of Riuksaky) moved too quickly! -8.464823872637908,0.0,-10.124779567778091
[15Jul2025 00:25:54.445] [Server thread/WARN] [net.minecraft.server.network.ServerGamePacketListenerImpl/]: Boat (vehicle of Riuksaky) moved too quickly! -8.464823872637908,0.0,-10.124779567778091
[15Jul2025 00:25:54.445] [Server thread/WARN] [net.minecraft.server.network.ServerGamePacketListenerImpl/]: Boat (vehicle of Riuksaky) moved too quickly! -8.464823872637908,0.0,-10.124779567778091
[15Jul2025 00:25:54.445] [Server thread/WARN] [net.minecraft.server.network.ServerGamePacketListenerImpl/]: Boat (vehicle of Riuksaky) moved too quickly! -8.464823872637908,0.0,-10.124779567778091
